Credit Score,Finance Type,LTV,Binded TW
566,Purchase,0.563,0
566,Refi,1.069,0
566,Refi,1.394,0.27
566,Refi,1.134,0
566,Purchase,1.131,0
566,Purchase,1.160,0.14
567,Refi,1.481,0
567,Refi,1.239,0
567,Refi,1.356,0
567,Refi,0.916,0
567,Refi,0.996,0
567,Refi,1.225,0
567,Refi,1.262,0
567,Refi,1.042,0
568,Refi,1.433,0
568,Refi,1.133,0.07
568,Refi,0.976,0
568,Purchase,1.184,0
568,Refi,1.040,0
568,Refi,1.085,0
568,Refi,1.100,0
568,Refi,1.166,0
568,Refi,1.180,0
569,Purchase,1.193,0
569,Refi,1.273,0.11
569,Refi,1.115,0
569,Purchase,1.243,0
569,Refi,0.993,0
569,Refi,1.304,0
569,Refi,1.359,0
569,Refi,1.121,0
569,Refi,1.196,0
570,Purchase,1.411,0
570,Purchase,1.426,0
570,Refi,1.084,0
570,Refi,1.328,0
570,Refi,1.354,0.27
570,Refi,1.169,0
570,Purchase,1.285,0
570,Purchase,1.311,0
570,Purchase,1.314,0
570,Purchase,1.156,0
570,Refi,1.338,0
570,Refi,1.159,0
571,Purchase,1.129,0.14
571,Refi,1.355,0
571,Purchase,1.150,0
571,Refi,1.003,0
571,Purchase,1.210,0
571,Refi,1.152,0
571,Refi,1.40779,0
571,Refi,1.249,0
571,Refi,1.262,0
572,Refi,1.555,0
572,Purchase,1.303,0
572,Refi,1.318,0.17
572,Refi,0.907,0
572,Refi,1.431,0
572,Purchase,1.125,0
572,Purchase,1.380,0
572,Purchase,1.388,0
572,Refi,1.121,0
572,Refi,1.176,0
572,Refi,1.312,0
572,Refi,1.396,0
572,Refi,1.265,0
572,Refi,1.305,0
573,Refi,0.771,0
573,Purchase,0.803,0
573,Purchase,1.216,0.08
573,Purchase,1.274,0
573,Purchase,1.305,0
573,Refi,1.436,0
573,Purchase,1.302,0
573,Refi,1.182,0
573,Refi,1.183,0.18
573,Refi,1.313,0
573,Refi,1.322,0
573,Refi,1.328,0
573,Refi,1.220,0
574,Purchase,0.848,0
574,Purchase,0.859,0.25
574,Purchase,1.320,0.29
574,Refi,1.083,0
574,Refi,0.839,0
574,Purchase,0.868,0
574,Refi,0.955,0
574,Purchase,1.396,0.29
574,Refi,1.097,0.15
574,Refi,1.100,0
574,Purchase,1.249,0
574,Refi,1.178,0.18
574,Refi,1.347,0
574,Refi,1.387,0
574,Refi,1.237,0
574,Refi,1.263,0
574,Refi,1.290,0
575,Purchase,1.439,1
575,Refi,0.985,0
575,Purchase,0.773,0
575,Purchase,0.806,0
575,Purchase,1.087,0
575,Purchase,1.356,0
575,Refi,1.006,0
575,Refi,1.014,0
575,Refi,1.066,0
575,Refi,1.097,0
575,Purchase,1.308,0
575,Refi,1.143,0
575,Refi,1.147,0
575,Refi,1.311,0
575,Refi,1.376,0
575,Refi,1.259,0
576,Refi,1.467,0.2
576,Purchase,1.131,0
576,Refi,1.190,0
576,Refi,0.985,0
576,Purchase,1.118,0
576,Purchase,1.178,0
576,Refi,1.090,0
576,Purchase,1.213,0
576,Purchase,1.238,0
576,Refi,1.141,0
576,Refi,1.175,0
576,Refi,1.348,0
576,Refi,1.371,0
577,Purchase,0.995,0
577,Purchase,1.636,0
577,Purchase,1.020,0
577,Refi,1.273,0
577,Purchase,1.055,0
577,Refi,1.072,0
577,Refi,1.174,0
577,Refi,1.183,0
577,Refi,1.212,0
578,Refi,1.557,0
578,Refi,1.093,0
578,Refi,1.175,0
578,Refi,1.205,0
578,Refi,1.323,0.17
578,Refi,0.816,0
578,Refi,1.438,0
578,Purchase,1.054,0
578,Purchase,1.094,0
578,Purchase,1.188,0
578,Refi,1.048,0.15
578,Refi,1.378,0
578,Refi,1.252,0
578,Refi,1.273,0
578,Refi,1.277,0
579,Purchase,1.337,0
579,Refi,1.085,0
579,Purchase,1.224,0
579,Purchase,1.277,0
579,Refi,1.240,0
580,Refi,0.730,0
580,Refi,0.840,0
580,Refi,1.442,0
580,Purchase,0.864,0
580,Purchase,1.055,0.17
580,Refi,0.927,0
580,Refi,0.934,0
580,Purchase,1.382,0
580,Purchase,1.255,0
580,Refi,1.158,0.09
580,Refi,1.195,0
580,Refi,1.313,0.17
580,Refi,1.363,0
580,Refi,1.085,0
580,Refi,1.106,0
580,Refi,1.233,0
580,Refi,1.243,0
580,Refi,1.248,0
580,Refi,1.266,0
581,Purchase,0.898,0
581,Refi,1.189,0
581,Purchase,1.061,0
581,Refi,1.428,0
581,Refi,1.465,0
581,Refi,1.077,0
581,Refi,1.364,0
581,Refi,1.377,0
581,Refi,1.211,0
581,Refi,1.164,0
581,Refi,1.192,0
581,Refi,1.206,0
582,Refi,0.776,0
