Credit Score,Finance Type,LTV,Average Gross Revenue Binding
615,Purchase,0.848387879,1063.601667
615,Refi,1.197144538,1209.29
615,Refi,1.397380255,1251.7625
615,Refi,1.222888176,1348.66375
615,Purchase,1.411442308,2490.39
615,Refi,1.152679749,1209.29
615,Refi,0.899695128,743.77
616,Purchase,0.904991216,1063.601667
616,Refi,1.373836786,1251.7625
616,Purchase,1.161026738,2292.538
616,Refi,1.287751938,1348.66375
616,Refi,1.184697378,1209.29
616,Refi,1.176398606,1209.29
616,Purchase,1.244677419,1952.977143
616,Refi,1.29743907,1348.66375
616,Refi,1.421258228,1566.333
616,Refi,1.390376344,1251.7625
616,Refi,1.144950212,1209.29
616,Refi,1.749442857,513.32
616,Refi,1.217262248,1348.66375
616,Purchase,1.157364486,2292.538
616,Purchase,1.066357775,1312.543333
616,Purchase,1.088074255,1312.543333
617,Purchase,0.848718261,1063.601667
617,Purchase,0.739991241,1056.366667
617,Purchase,1.081673714,1312.543333
617,Refi,1.42399841,1566.333
617,Refi,1.27046087,1348.66375
617,Refi,1.421621622,1566.333
617,Purchase,0.762903349,1056.366667
617,Refi,1.234128119,1348.66375
617,Refi,1.290378485,1348.66375
617,Refi,0.67816177,1730.06
617,Refi,1.173211546,1209.29
618,Refi,1.263873147,1348.66375
618,Purchase,1.042926848,1312.543333
618,Purchase,1.397262745,280.59
618,Purchase,0.651465798,524
618,Refi,1.2417,1348.66375
618,Refi,1.237151549,1348.66375
618,Purchase,1.291360208,1952.977143
618,Purchase,1.275176563,1952.977143
618,Purchase,0.880253409,1063.601667
618,Refi,0.962738355,1527.1
619,Purchase,0.497512438,465.64
619,Refi,1.346913808,1251.7625
619,Purchase,1.039927461,1312.543333
619,Purchase,0.935576015,1153.232
619,Refi,1.30384911,1348.66375
619,Refi,1.593130298,1766.79
619,Purchase,0.361856655,516.39
619,Refi,1.046915888,1446.5025
619,Refi,0.970098571,1527.1
619,Purchase,1.076398174,1312.543333
620,Refi,1.312598883,1251.7625
620,Refi,1.261953488,1348.66375
620,Purchase,0.860003724,1063.601667
620,Purchase,0.973258383,1153.232
620,Refi,1.268480899,1348.66375
620,Refi,1.175193979,1209.29
620,Purchase,1.247477895,1952.977143
620,Refi,1.53429927,1766.79
620,Refi,0.592929782,605.1
620,Purchase,1.229034437,1952.977143
621,Refi,1.406107216,1268.8276
621,Refi,0.891586175,1172.685
621,Refi,1.452607947,1533.145455
621,Purchase,1.274700337,2043.161667
621,Refi,1.145504848,1265.74
621,Refi,1.486246729,1533.145455
621,Refi,1.196281301,1265.74
621,Refi,1.045006959,1095.785556
621,Refi,1.177850299,1265.74
621,Refi,1.29576826,1299.340952
621,Refi,1.290666033,1299.340952
621,Refi,1.312384615,1268.8276
621,Purchase,1.409349485,2412.316
622,Refi,1.201248705,1265.74
622,Refi,1.407811255,1268.8276
622,Refi,1.100142529,1095.785556
622,Refi,1.294364592,1299.340952
622,Refi,1.485475,1533.145455
622,Refi,1.47,1533.145455
622,Purchase,1.049896592,1477.871429
622,Refi,1.278338922,1299.340952
622,Refi,1.238691032,1299.340952
622,Refi,1.021691241,1095.785556
622,Refi,1.276225979,1299.340952
622,Purchase,1.187904147,1794.74125
622,Refi,1.310883582,1268.8276
622,Refi,1.346641333,1268.8276
622,Refi,1.402937587,1268.8276
622,Refi,1.44056692,1533.145455
622,Refi,1.045876446,1095.785556
622,Purchase,1.303953575,2043.161667
623,Refi,1.059948603,1095.785556
623,Purchase,1.093694635,1477.871429
623,Refi,1.409451501,1268.8276
623,Refi,1.304665811,1299.340952
623,Refi,1.398960483,1268.8276
623,Refi,1.357201533,1268.8276
623,Purchase,1.244780995,2043.161667
623,Purchase,1.156863132,1794.74125
623,Refi,0.829991545,1172.685
623,Purchase,0.821126984,1601.966667
624,Purchase,1.036158917,1477.871429
624,Refi,1.226674302,1299.340952
624,Refi,1.406272222,1268.8276
624,Refi,1.175745744,1265.74
624,Refi,0.464714715,492.45
624,Refi,1.291158685,1299.340952
624,Purchase,0.915923183,1120.573333
624,Purchase,1.366119167,2412.316
624,Purchase,1.185018667,1794.74125
624,Purchase,1.366970044,2412.316
624,Refi,1.427619568,1533.145455
624,Refi,1.385954084,1268.8276
624,Refi,1.332226752,1268.8276
624,Refi,1.062706077,1095.785556
624,Refi,1.345120715,1268.8276
625,Refi,1.167044136,1265.74
625,Purchase,0.897780707,1601.966667
625,Refi,1.193458294,1265.74
625,Refi,1.231382039,1299.340952
625,Purchase,1.25197549,2043.161667
625,Refi,1.261779028,1299.340952
625,Refi,1.049413149,1095.785556
625,Refi,1.282020431,1299.340952
625,Refi,0.993483158,815.8066667
625,Purchase,0.880508451,1601.966667
625,Purchase,1.366297143,2412.316
625,Purchase,1.144702247,1794.74125
625,Refi,1.439678261,1533.145455
625,Refi,1.160264471,1265.74
625,Purchase,1.129928163,1794.74125
626,Refi,1.169635386,1265.74
626,Refi,1.111831953,1265.74
626,Refi,1.132445283,1265.74
626,Refi,1.350431779,1268.8276
626,Refi,1.325794409,1268.8276
626,Purchase,1.567729754,2196.19
626,Purchase,1.154142092,1794.74125
626,Purchase,1.259792442,2043.161667
626,Refi,0.985731526,815.8066667
626,Refi,1.4,1268.8276
626,Refi,1.503956863,1533.145455
626,Refi,1.27236396,1299.340952
627,Refi,1.379319171,1268.8276
627,Purchase,1.236602899,2043.161667
627,Purchase,1.023854005,1477.871429
627,Purchase,0.733746185,890.02
627,Refi,1.190263872,1265.74
627,Purchase,1.176347475,1794.74125
627,Purchase,1.019154321,1477.871429
627,Refi,1.116633731,1265.74
627,Refi,1.276553563,1299.340952
627,Refi,1.264748115,1299.340952
627,Refi,1.423721212,1533.145455
627,Refi,0.717866932,1806.64
628,Refi,1.358791886,1268.8276
628,Purchase,0.989696835,1120.573333
628,Refi,1.290549136,1299.340952
628,Refi,0.991615851,815.8066667
628,Purchase,0.951477209,1120.573333
628,Refi,1.217640845,1299.340952
628,Refi,1.385215176,1268.8276
628,Refi,0.978462349,815.8066667
628,Purchase,0.468087056,576.74
628,Refi,1.243994444,1299.340952
628,Refi,1.347509554,1268.8276
628,Refi,1.320390769,1268.8276
629,Refi,1.409214742,1268.8276
629,Refi,1.166320422,1265.74
629,Refi,1.460641551,1533.145455
629,Refi,0.992277095,815.8066667
629,Refi,1.286947088,1299.340952
629,Purchase,1.13002517,1794.74125
629,Refi,0.94816872,815.8066667
629,Refi,1.070717875,1095.785556
630,Refi,1.360601936,1268.8276
630,Refi,1.100962014,1095.785556
630,Refi,1.281345055,1299.340952
630,Refi,1.342610338,1268.8276
630,Purchase,1.338123128,2412.316
630,Purchase,0.72635443,890.02
630,Purchase,1.01470989,1477.871429
630,Refi,1.36606416,1268.8276
630,Purchase,1.104525714,1477.871429
630,Refi,1.212716574,1299.340952
630,Refi,1.446481625,1533.145455
631,Purchase,0.95798842,854.417
631,Refi,1.189946599,1232.902105
631,Refi,1.205865586,1232.902105
631,Refi,1.47,1181.214286
631,Refi,1.122163265,1232.902105
631,Refi,1.394250407,1167.632222
631,Refi,1.34709071,1167.632222
631,Refi,1.055642705,929.11
631,Refi,1.371375636,1167.632222
631,Refi,1.409180786,1167.632222
631,Refi,1.145896216,1232.902105
631,Purchase,1.150145534,2358.24
631,Refi,1.364929524,1167.632222
632,Refi,1.251532919,1366.49
632,Refi,0.911243388,1264.168
632,Refi,1.293632778,1366.49
632,Refi,1.178758177,1232.902105
632,Refi,1.177580685,1232.902105
632,Refi,1.369739552,1167.632222
632,Purchase,1.050269366,1071.175455
632,Refi,1.094624521,929.11
632,Refi,1.179653846,1232.902105
632,Refi,1.162735547,1232.902105
632,Purchase,0.553705964,1313.315
632,Refi,0.881004665,1466.37
632,Purchase,1.207114591,2358.24
632,Purchase,0.513100346,1313.315
632,Refi,1.437680834,1181.214286
633,Purchase,1.047311765,1071.175455
633,Purchase,1.220688383,1933.145714
633,Purchase,0.458072,608.33
633,Refi,1.179995859,1232.902105
633,Purchase,1.335841742,2050.8775
633,Refi,1.305646329,1366.49
633,Purchase,1.300209424,1933.145714
633,Refi,0.902808108,1466.37
633,Refi,1.263918575,1366.49
633,Purchase,1.079888158,1071.175455
633,Purchase,0.796858504,1528.09
633,Refi,1.1903488,1232.902105
634,Refi,1.311832391,1167.632222
634,Refi,1.392389071,1167.632222
634,Purchase,1.202605634,2358.24
634,Purchase,1.398937652,2050.8775
634,Purchase,1.275162617,1933.145714
634,Refi,1.263703529,1366.49
634,Purchase,1.153853763,2358.24
634,Refi,1.140135117,1232.902105
634,Refi,1.466547416,1181.214286
635,Refi,0.975541935,1264.168
635,Refi,0.986315912,1264.168
635,Refi,1.310430851,1167.632222
635,Refi,1.16636861,1232.902105
635,Purchase,1.101985185,1071.175455
635,Refi,0.962668174,1264.168
635,Purchase,1.133894884,2358.24
635,Refi,1.271301558,1366.49
635,Refi,1.302918455,1366.49
635,Purchase,1.044843584,1071.175455
635,Purchase,0.977897854,854.417
635,Refi,1.333400849,1167.632222
635,Purchase,1.008833818,854.417
635,Refi,1.164835714,1232.902105
635,Refi,1.060689408,929.11
636,Refi,1.40886431,1167.632222
636,Refi,1.333213216,1167.632222
636,Purchase,1.050749171,1071.175455
636,Purchase,0.913361111,854.417
636,Refi,0.960629014,1264.168
636,Purchase,1.102961983,1071.175455
636,Purchase,1.198616316,2358.24
