Credit Score,Finance Type,LTV,Binded GAP
588,Refi,1.114,0.75
588,Refi,1.162,0.75
588,Refi,1.167,0.75
589,Purchase,1.310,0.5
589,Purchase,1.223,0
589,Refi,1.028,0.74
589,Refi,1.353,0.7
589,Purchase,1.444,0.25
589,Refi,0.963,0.8
589,Refi,0.999,0.8
589,Purchase,1.013,0.75
589,Purchase,1.228,0.63
589,Refi,1.434,0.73
589,Refi,1.086,0.74
589,Refi,1.094,0.74
589,Refi,1.337,0
589,Refi,1.296,0.83
589,Refi,1.297,0.83
589,Refi,1.142,0.75
589,Refi,1.159,0.75
590,Purchase,0.981,0.4
590,Purchase,1.044,0.75
590,Purchase,1.173,0.7
590,Refi,1.285,0
590,Refi,1.157,0.75
590,Purchase,1.392,0
590,Purchase,1.243,0
590,Refi,1.072,0.74
590,Refi,1.110,0.74
590,Refi,1.022,0.74
590,Refi,1.035,0
590,Refi,1.322,0.7
590,Refi,1.357,0.7
590,Refi,1.40157,0
590,Refi,1.216,0.83
590,Refi,1.161,0.75
590,Refi,1.168,0.75
590,Refi,1.184,0
591,Refi,0.683,0.5
591,Purchase,1.449,1
591,Purchase,1.550,1
591,Refi,1.40393,0
591,Refi,1.263,0.8
591,Refi,1.431,0.82
591,Refi,1.062,0.93
591,Refi,1.108,0.93
591,Refi,1.180,0.69
591,Refi,1.354,0.72
591,Refi,1.358,0.72
591,Refi,1.370,0
591,Refi,1.40699,0.72
591,Refi,1.210,0.8
591,Refi,1.302,0.8
592,Refi,1.40390,0.72
592,Purchase,1.068,0
592,Refi,1.434,0.82
592,Refi,1.088,0.93
592,Refi,1.323,0.72
592,Refi,1.327,0.72
592,Refi,1.330,0.72
592,Refi,1.384,0.72
592,Refi,1.394,0.72
592,Refi,1.239,0.8
592,Refi,1.243,0.8
592,Refi,1.289,0.8
592,Refi,1.309,0
593,Refi,0.617,0
593,Purchase,1.330,0.5
593,Purchase,1.340,0
593,Refi,0.941,0
593,Purchase,1.106,0
593,Purchase,1.171,0.91
593,Refi,1.169,0
593,Refi,1.394,0.72
593,Refi,1.270,0
593,Refi,1.513,0
593,Purchase,1.245,0.57
593,Purchase,0.996,0.63
593,Purchase,1.090,0
593,Refi,1.418,0.82
593,Refi,1.433,0
593,Refi,1.134,0
593,Refi,1.203,0.69
593,Refi,1.318,0.72
593,Refi,1.349,0
593,Refi,1.352,0.72
593,Refi,1.218,0.8
593,Refi,1.242,0.8
593,Refi,1.242,0.8
593,Refi,1.248,0.8
593,Refi,1.283,0.8
593,Refi,1.298,0
594,Purchase,0.903,0.33
594,Purchase,1.422,1
594,Refi,1.210,0.8
594,Refi,0.969,0.43
594,Purchase,1.028,0
594,Purchase,1.157,0.91
594,Purchase,1.197,0.91
594,Refi,1.045,0.93
594,Refi,1.067,0.93
594,Refi,1.070,0.93
594,Refi,1.126,0.69
594,Refi,1.184,0.69
594,Refi,1.199,0
594,Refi,1.338,0.72
594,Refi,1.341,0
594,Refi,1.350,0.72
594,Refi,1.350,0.72
594,Refi,1.360,0.72
594,Refi,1.400,0.72
594,Refi,1.40909,0
594,Refi,1.217,0.8
594,Refi,1.231,0.8
594,Refi,1.250,0
594,Refi,1.274,0.8
594,Refi,1.274,0.8
594,Refi,1.275,0.8
594,Refi,1.280,0.8
594,Refi,1.288,0
595,Purchase,0.524,1
595,Purchase,0.864,0
595,Purchase,0.767,0
595,Purchase,0.864,0
595,Refi,1.021,0.93
595,Refi,1.130,0.69
595,Refi,1.208,0
595,Refi,1.40473,0.72
595,Refi,1.267,0.8
595,Purchase,0.999,0
595,Purchase,1.131,0.91
595,Purchase,1.143,0.91
595,Refi,1.320,0
595,Refi,1.398,0
595,Refi,1.213,0.8
595,Refi,1.262,0.8
595,Refi,1.278,0.8
595,Refi,1.284,0
596,Purchase,0.516,1
596,Refi,0.863,1
596,Refi,0.889,1
596,Refi,0.892,1
596,Refi,1.520,0
596,Refi,1.550,0
596,Refi,0.999,0
596,Refi,1.025,0.93
596,Refi,1.107,0.93
596,Refi,1.108,0.93
596,Refi,1.133,0
596,Refi,1.137,0
596,Refi,1.325,0.72
596,Refi,1.390,0.72
596,Refi,1.215,0.8
596,Refi,1.223,0
596,Refi,1.255,0.8
596,Refi,1.273,0.8
597,Refi,0.933,0
597,Purchase,1.278,0
597,Purchase,1.281,0.57
597,Purchase,1.023,0.33
597,Purchase,1.048,0.33
597,Refi,1.073,0.93
597,Refi,1.138,0.69
597,Refi,1.550,0.25
597,Purchase,1.238,0.57
597,Purchase,1.305,0
597,Purchase,0.919,0.63
597,Purchase,0.940,0
597,Refi,1.434,0.82
597,Purchase,1.115,0.91
597,Purchase,1.180,0.91
597,Refi,1.013,0.93
597,Refi,1.022,0.93
597,Refi,1.145,0.69
597,Refi,1.153,0
597,Refi,1.176,0
597,Refi,1.189,0.69
597,Refi,1.196,0.69
597,Refi,1.318,0.72
597,Refi,1.358,0.72
597,Refi,1.378,0
597,Refi,1.233,0.8
598,Refi,0.800,0
598,Refi,0.961,0
598,Refi,1.126,0
598,Refi,1.229,0.8
598,Refi,0.953,0.43
598,Purchase,1.214,0
598,Purchase,1.220,0.57
598,Purchase,0.971,0.63
598,Purchase,1.025,0.33
598,Purchase,1.102,0
598,Purchase,1.168,0.91
598,Refi,1.142,0.69
598,Refi,1.143,0.69
598,Refi,1.200,0.69
598,Refi,1.295,0.8
599,Refi,0.743,0.5
599,Refi,1.412,0.82
599,Refi,1.448,0
599,Refi,0.915,0.43
599,Purchase,0.928,0
599,Purchase,0.954,0.63
