Credit Score,Finance Type,LTV,Loans Booked,
584,Purchase,1.18,10,
584,Purchase,1.44,4,
585,Refi,0.91,3,
585,Refi,0.96,5,
585,Refi,1.06,19,
585,Refi,1.11,19,
585,Refi,1.14,32,
585,Refi,1.17,32,
585,Refi,1.22,24,
585,Refi,1.30,24,
585,Refi,1.34,20,
585,Refi,1.61,1,
585,Purchase,1.03,8,
585,Purchase,1.04,8,
585,Purchase,1.04,8,
585,Purchase,1.12,10,
585,Purchase,1.13,10,
585,Purchase,1.17,10,
585,Purchase,1.39,6,
585,Purchase,1.46,4,
586,Refi,0.88,3,
586,Refi,0.97,5,
586,Refi,1.03,19,
586,Refi,1.09,19,
586,Refi,1.16,32,
586,Refi,1.18,32,
586,Refi,1.40,20,
586,Refi,1.42,15,
586,Refi,1.42,15,
586,Refi,1.43,15,
586,Refi,1.43,15,
586,Refi,1.43,15,
586,Purchase,0.74,1,
586,Purchase,1.13,10,
586,Purchase,1.21,10,
586,Purchase,1.30,8,
586,Purchase,1.38,6,
587,Purchase,0.69,1,
587,Refi,1.02,19,
587,Refi,1.07,19,
587,Refi,1.16,32,
587,Refi,1.23,24,
587,Refi,1.24,24,
587,Refi,1.24,24,
587,Refi,1.28,24,
587,Refi,1.29,24,
587,Refi,1.31,24,
587,Refi,1.38,20,
587,Purchase,0.92,5,
587,Purchase,0.94,5,
587,Purchase,1.11,8,
588,Refi,1.08,19,
588,Refi,1.11,32,
588,Refi,1.16,32,
588,Refi,1.17,32,
588,Refi,1.26,24,
588,Refi,1.26,24,
588,Refi,1.28,24,
588,Refi,1.32,20,
588,Refi,1.32,20,
588,Refi,1.43,15,
588,Refi,1.51,15,
588,Purchase,1.16,10,
588,Purchase,1.23,8,
589,Refi,0.96,5,
589,Refi,1.00,5,
589,Refi,1.03,19,
589,Refi,1.09,19,
589,Refi,1.09,19,
589,Refi,1.14,32,
589,Refi,1.16,32,
589,Refi,1.30,24,
589,Refi,1.30,24,
589,Refi,1.34,20,
589,Refi,1.35,20,
589,Refi,1.43,15,
589,Purchase,1.01,8,
589,Purchase,1.22,8,
589,Purchase,1.23,8,
589,Purchase,1.31,6,
589,Purchase,1.44,4,
590,Refi,1.02,19,
590,Refi,1.03,19,
590,Refi,1.07,15,
590,Refi,1.11,15,
590,Refi,1.16,32,
590,Refi,1.16,32,
590,Refi,1.17,32,
590,Refi,1.18,32,
590,Refi,1.22,24,
590,Refi,1.29,24,
590,Refi,1.32,20,
590,Refi,1.36,20,
590,Refi,1.40,20,
590,Purchase,0.98,5,
590,Purchase,1.04,8,
590,Purchase,1.17,10,
590,Purchase,1.24,8,
590,Purchase,1.39,6,
591,Refi,0.68,2,
591,Refi,1.06,15,
591,Refi,1.11,15,
591,Refi,1.18,29,
591,Refi,1.21,45,
591,Refi,1.26,45,
591,Refi,1.30,45,
591,Refi,1.35,36,
591,Refi,1.36,36,
591,Refi,1.37,36,
591,Refi,1.40,36,
591,Refi,1.41,36,
591,Refi,1.43,11,
591,Purchase,1.45,3,
591,Purchase,1.55,2,
592,Refi,1.09,15,
592,Refi,1.24,45,
592,Refi,1.24,45,
592,Refi,1.29,45,
592,Refi,1.31,45,
592,Refi,1.32,36,
592,Refi,1.33,36,
592,Refi,1.33,36,
592,Refi,1.38,36,
592,Refi,1.39,36,
592,Refi,1.40,36,
592,Refi,1.43,11,
592,Purchase,1.07,9,
593,Refi,0.62,2,
593,Refi,0.94,7,
593,Refi,1.13,29,
593,Refi,1.17,29,
593,Refi,1.20,29,
593,Refi,1.22,45,
593,Refi,1.24,45,
593,Refi,1.24,45,
593,Refi,1.25,45,
593,Refi,1.27,45,
593,Refi,1.28,45,
593,Refi,1.30,45,
593,Refi,1.32,36,
593,Refi,1.35,36,
593,Refi,1.35,36,
593,Refi,1.39,36,
593,Refi,1.42,11,
593,Refi,1.43,11,
593,Refi,1.51,4,
593,Purchase,1.00,8,
593,Purchase,1.09,9,
593,Purchase,1.11,9,
593,Purchase,1.17,11,
593,Purchase,1.24,7,
593,Purchase,1.33,2,
593,Purchase,1.34,2,
594,Refi,0.97,7,
594,Refi,1.05,15,
594,Refi,1.07,15,
594,Refi,1.07,15,
594,Refi,1.13,29,
594,Refi,1.18,29,
594,Refi,1.20,29,
594,Refi,1.21,45,
594,Refi,1.22,45,
594,Refi,1.23,45,
594,Refi,1.25,45,
594,Refi,1.27,45,
594,Refi,1.27,45,
594,Refi,1.27,45,
594,Refi,1.28,45,
594,Refi,1.29,45,
594,Refi,1.34,36,
594,Refi,1.34,36,
594,Refi,1.35,36,
594,Refi,1.35,36,
594,Refi,1.36,36,
594,Refi,1.40,36,
594,Refi,1.41,36,
594,Purchase,0.90,3,
594,Purchase,1.03,9,
594,Purchase,1.16,11,
594,Purchase,1.20,11,
594,Purchase,1.42,3,
595,Purchase,0.52,2,
595,Refi,1.02,15,
595,Refi,1.13,29,
595,Refi,1.21,29,
595,Refi,1.21,45,
595,Refi,1.26,45,
595,Refi,1.27,45,
595,Refi,1.28,45,
595,Refi,1.28,45,
595,Refi,1.32,36,
595,Refi,1.40,36,
595,Refi,1.40,36,
595,Purchase,0.77,1,
595,Purchase,0.86,3,
595,Purchase,0.86,3,
595,Purchase,1.00,8,
595,Purchase,1.13,11,
595,Purchase,1.14,11,
596,Purchase,0.52,2,
596,Refi,0.86,3,
596,Refi,0.89,3,
596,Refi,0.89,3,
596,Refi,1.00,7,
596,Refi,1.03,15,
596,Refi,1.11,15,
596,Refi,1.11,15,
596,Refi,1.13,29,
596,Refi,1.14,29,
596,Refi,1.21,45,
596,Refi,1.22,45,
596,Refi,1.26,45,
596,Refi,1.27,45,
596,Refi,1.32,36,
596,Refi,1.39,36,
596,Refi,1.52,4,
596,Refi,1.55,4,
597,Refi,0.93,7,
597,Refi,1.01,15,
597,Refi,1.02,15,
597,Refi,1.07,15,
597,Refi,1.14,29,
597,Refi,1.15,29,
597,Refi,1.15,29,
597,Refi,1.18,29,
597,Refi,1.19,29,
597,Refi,1.20,29,
597,Refi,1.23,45,
597,Refi,1.32,36,
597,Refi,1.36,36,
597,Refi,1.38,36,
597,Refi,1.43,11,
597,Refi,1.55,4,
597,Purchase,0.92,8,
597,Purchase,0.94,8,
597,Purchase,1.02,9,
597,Purchase,1.05,9,
597,Purchase,1.12,11,
597,Purchase,1.18,11,
597,Purchase,1.24,7,
597,Purchase,1.28,7,
597,Purchase,1.28,7,
597,Purchase,1.31,7,
598,Refi,0.80,2,
598,Refi,0.95,7,
598,Refi,0.96,7,
598,Refi,1.13,29,
598,Refi,1.14,29,
598,Refi,1.14,29,
598,Refi,1.20,29,
598,Refi,1.23,45,
598,Refi,1.30,45,
598,Purchase,0.97,8,
598,Purchase,1.03,9,
598,Purchase,1.10,9,
598,Purchase,1.17,11,
598,Purchase,1.21,7,
598,Purchase,1.22,7,
599,Refi,0.74,2,
599,Refi,0.91,7,
599,Refi,1.03,27,
599,Refi,1.09,27,
599,Refi,1.11,29,
599,Refi,1.15,29,
599,Refi,1.15,29,
599,Refi,1.16,29,
599,Refi,1.17,29,
599,Refi,1.18,29,
599,Refi,1.22,45,
599,Refi,1.23,45,
599,Refi,1.25,45,
599,Refi,1.27,45,
599,Refi,1.28,45,
599,Refi,1.29,45,
599,Refi,1.31,45,
599,Refi,1.34,36,
599,Refi,1.34,36,
599,Refi,1.35,36,
599,Refi,1.39,36,
599,Refi,1.41,11,
599,Refi,1.45,11,
599,Refi,1.46,11,
599,Purchase,0.93,8,
599,Purchase,0.95,8,
599,Purchase,1.09,9,
600,Refi,1.15,29,
600,Refi,1.18,29,
600,Refi,1.23,45,
600,Refi,1.24,45,
600,Refi,1.26,45,
600,Refi,1.33,36,
600,Refi,1.35,36,
600,Refi,1.43,11,
600,Refi,1.46,11,
600,Refi,1.47,11,
600,Purchase,0.98,8,
600,Purchase,1.12,11,
600,Purchase,1.17,11,
600,Purchase,1.20,11,
600,Purchase,1.51,3,
600,Purchase,1.51,2,
601,Refi,0.99,11,
601,Refi,1.00,11,
601,Refi,1.03,27,
601,Refi,1.04,27,
601,Refi,1.06,27,
601,Refi,1.07,27,
601,Refi,1.09,27,
601,Refi,1.28,31,
601,Refi,1.34,43,
601,Refi,1.37,43,
601,Refi,1.37,43,
601,Refi,1.41,10,
601,Refi,1.48,10,
601,Refi,1.66,1,
601,Purchase,0.87,1,
601,Purchase,1.10,11,
601,Purchase,1.11,11,
601,Purchase,1.27,6,
602,Refi,0.85,2,
602,Refi,0.99,11,
602,Refi,1.01,27,
602,Refi,1.11,32,
602,Refi,1.13,32,
602,Refi,1.14,32,
602,Refi,1.14,32,
602,Refi,1.16,32,
602,Refi,1.19,32,
602,Refi,1.20,32,
602,Refi,1.21,32,
602,Refi,1.25,31,
602,Refi,1.29,31,
602,Refi,1.30,31,
602,Refi,1.35,43,
602,Refi,1.37,43,
602,Refi,1.37,43,
602,Refi,1.40,43,
602,Refi,1.43,10,
602,Refi,1.44,10,
