Credit Score,Finance Type,LTV,Total Gross Revenue Binding
599,Refi,1.172790744,12144.35
599,Refi,1.339666667,24423.83
599,Refi,1.223738868,30480.1
599,Refi,1.246705018,30480.1
599,Refi,1.266518387,30480.1
599,Purchase,0.9282,11583.17
599,Refi,1.281987718,30480.1
599,Purchase,0.954100097,11583.17
599,Refi,1.291329483,30480.1
599,Refi,0.742556902,2100.11
600,Purchase,1.198142268,13610.98
600,Refi,1.258907563,30480.1
600,Refi,1.427941176,5169.34
600,Purchase,1.514453258,4269.2
600,Purchase,1.123559152,13610.98
600,Purchase,1.509217877,4107.39
600,Refi,1.184798851,12144.35
600,Refi,1.331796117,24423.83
601,Refi,1.283330556,13804.39
601,Refi,1.414803113,7013.91
601,Refi,1.064403769,17601.75
601,Refi,1.042400943,17601.75
601,Purchase,1.099130194,11747.83
601,Refi,1.373522523,22644.89
601,Refi,1.03290367,17601.75
601,Purchase,1.266271483,10151.62
601,Purchase,1.105277796,11747.83
601,Refi,0.985641169,4658.99
602,Refi,1.439560648,7013.91
602,Refi,0.847209464,1777.22
602,Refi,1.25478449,13804.39
602,Purchase,1.152545532,12853.5
602,Refi,1.401446384,22644.89
602,Refi,1.493744828,7013.91
602,Refi,1.206642763,26089.38
602,Refi,1.427711647,7013.91
602,Refi,1.373142043,22644.89
602,Refi,1.110953675,26089.38
602,Refi,1.125222331,26089.38
602,Refi,1.353826598,22644.89
602,Refi,1.293069637,13804.39
603,Refi,1.214426774,13804.39
603,Refi,1.355436212,22644.89
603,Purchase,1.214060743,10151.62
603,Refi,1.134050806,26089.38
603,Refi,1.259281404,13804.39
603,Refi,1.340920724,22644.89
603,Purchase,1.175156731,12853.5
603,Refi,1.171456354,26089.38
604,Refi,1.297977612,13804.39
604,Refi,1.344311823,22644.89
604,Purchase,1.261303797,10151.62
604,Purchase,1.297771429,10151.62
604,Purchase,1.436724694,2014.88
604,Refi,0.970064262,4658.99
604,Refi,1.194503817,26089.38
605,Refi,1.060364878,17601.75
605,Refi,1.315321442,22644.89
605,Refi,1.174068787,26089.38
605,Refi,1.03941896,17601.75
605,Refi,1.398240803,22644.89
605,Purchase,1.118718663,12853.5
605,Refi,1.121634711,26089.38
605,Refi,1.06714032,17601.75
605,Refi,1.173243314,26089.38
605,Refi,1.02542134,17601.75
605,Refi,0.994217096,4658.99
605,Refi,1.059653743,17601.75
605,Refi,1.036118361,17601.75
605,Refi,0.935716935,4658.99
605,Refi,1.304679365,13804.39
606,Purchase,1.059658058,11747.83
606,Refi,1.053898627,17601.75
606,Refi,1.518890874,3740
606,Refi,1.13027449,26089.38
606,Refi,1.4,22644.89
606,Refi,0.709711744,548.3
606,Refi,1.104703424,17601.75
606,Refi,1.317834197,22644.89
606,Refi,1.329423602,22644.89
606,Refi,1.438882412,7013.91
607,Refi,0.95420832,4658.99
607,Refi,1.091216613,17601.75
607,Refi,1.143929468,26089.38
607,Purchase,1.210608955,10151.62
607,Refi,1.34759744,22644.89
607,Refi,1.191719535,26089.38
608,Purchase,0.931190647,6182.74
608,Purchase,1.200684755,12853.5
608,Refi,1.069350788,17601.75
608,Refi,1.037424974,17601.75
608,Purchase,1.094896306,11747.83
608,Refi,1.294209445,13804.39
608,Refi,1.193623093,26089.38
608,Purchase,1.202125676,12853.5
608,Refi,1.331565031,22644.89
608,Purchase,1.154589799,12853.5
609,Refi,1.108973044,17601.75
609,Refi,1.284168794,13804.39
609,Refi,1.376370337,22644.89
609,Refi,1.30899808,13804.39
609,Refi,1.6,3740
609,Refi,1.155959531,26089.38
609,Refi,1.266502726,13804.39
609,Refi,1.18938012,26089.38
609,Purchase,0.947478585,6182.74
609,Refi,1.333694915,22644.89
609,Purchase,1.392913793,903.97
609,Purchase,0.956814639,6182.74
609,Refi,1.352283204,22644.89
610,Refi,1.024481375,17601.75
610,Purchase,1.036324378,11747.83
610,Refi,0.864252507,1777.22
610,Purchase,0.691296923,1703.41
610,Refi,1.179838462,26089.38
610,Purchase,1.1794704,12853.5
610,Refi,1.120860274,26089.38
610,Refi,1.146856104,26089.38
610,Purchase,0.951504925,6182.74
611,Purchase,1.242226929,13670.84
611,Refi,1.329527485,15021.15
611,Refi,1.204068712,16930.06
611,Refi,0.852455459,1487.54
611,Purchase,1.134194872,11462.69
611,Refi,1.314933889,15021.15
611,Refi,1.352455304,15021.15
611,Refi,1.143896471,16930.06
611,Purchase,1.12664,11462.69
611,Refi,1.129822542,16930.06
611,Refi,1.507070707,15663.33
611,Refi,1.144821264,16930.06
611,Refi,1.422688177,15663.33
611,Purchase,1.216043357,13670.84
611,Refi,1.4,15021.15
611,Purchase,1.052212639,15750.52
612,Refi,1.384287395,15021.15
612,Refi,1.442584404,15663.33
612,Refi,1.156322179,16930.06
612,Refi,1.298248584,21578.62
612,Refi,1.007681273,7635.5
612,Refi,1.490432,15663.33
612,Refi,1.056776417,5786.01
612,Purchase,1.057090204,15750.52
612,Refi,1.454260708,15663.33
612,Purchase,1.006082474,5766.16
612,Refi,1.366187143,15021.15
612,Refi,1.48541963,15663.33
612,Purchase,1.000626907,5766.16
612,Purchase,1.065422733,15750.52
612,Purchase,1.134449123,11462.69
612,Refi,1.435530141,15663.33
612,Refi,1.042840816,5786.01
612,Refi,1.127021891,16930.06
612,Refi,1.08888121,5786.01
613,Refi,1.283033289,21578.62
613,Refi,0.913245878,7635.5
613,Refi,1.190319298,16930.06
613,Refi,0.474029032,666.37
614,Refi,0.963557794,7635.5
614,Refi,1.251765043,21578.62
614,Purchase,1.084150909,15750.52
614,Purchase,0.952329019,5766.16
614,Refi,1.373851803,15021.15
614,Purchase,1.097637984,15750.52
614,Purchase,0.906616495,6381.61
614,Purchase,0.783606679,#REF!
614,Purchase,1.041768271,15750.52
615,Purchase,0.848387879,6381.61
615,Refi,1.197144538,16930.06
615,Refi,1.397380255,15021.15
615,Refi,1.222888176,21578.62
615,Purchase,1.411442308,2490.39
615,Refi,1.152679749,16930.06
615,Refi,0.899695128,1487.54
616,Purchase,0.904991216,6381.61
616,Refi,1.373836786,15021.15
616,Purchase,1.161026738,11462.69
616,Refi,1.287751938,21578.62
616,Refi,1.184697378,16930.06
616,Refi,1.176398606,16930.06
616,Purchase,1.244677419,13670.84
616,Refi,1.29743907,21578.62
616,Refi,1.421258228,15663.33
616,Refi,1.390376344,15021.15
616,Refi,1.144950212,16930.06
616,Refi,1.749442857,513.32
616,Refi,1.217262248,21578.62
616,Purchase,1.157364486,11462.69
616,Purchase,1.066357775,15750.52
616,Purchase,1.088074255,15750.52
617,Purchase,0.848718261,6381.61
617,Purchase,0.739991241,3169.1
617,Purchase,1.081673714,15750.52
617,Refi,1.42399841,15663.33
617,Refi,1.27046087,21578.62
617,Refi,1.421621622,15663.33
617,Purchase,0.762903349,3169.1
617,Refi,1.234128119,21578.62
617,Refi,1.290378485,21578.62
617,Refi,0.67816177,1730.06
617,Refi,1.173211546,16930.06
618,Refi,1.263873147,21578.62
618,Purchase,1.042926848,15750.52
618,Purchase,1.397262745,280.59
618,Purchase,0.651465798,524
618,Refi,1.2417,21578.62
618,Refi,1.237151549,21578.62
618,Purchase,1.291360208,13670.84
618,Purchase,1.275176563,13670.84
618,Purchase,0.880253409,6381.61
618,Refi,0.962738355,7635.5
619,Purchase,0.497512438,465.64
619,Refi,1.346913808,15021.15
619,Purchase,1.039927461,15750.52
619,Purchase,0.935576015,5766.16
619,Refi,1.30384911,21578.62
619,Refi,1.593130298,3533.58
619,Purchase,0.361856655,516.39
619,Refi,1.046915888,5786.01
619,Refi,0.970098571,7635.5
619,Purchase,1.076398174,15750.52
620,Refi,1.312598883,15021.15
620,Refi,1.261953488,21578.62
620,Purchase,0.860003724,6381.61
620,Purchase,0.973258383,5766.16
620,Refi,1.268480899,21578.62
620,Refi,1.175193979,16930.06
620,Purchase,1.247477895,13670.84
620,Refi,1.53429927,3533.58
620,Refi,0.592929782,605.1
620,Purchase,1.229034437,13670.84
621,Refi,1.406107216,31720.69
621,Refi,0.891586175,2345.37
621,Refi,1.452607947,16864.6
621,Purchase,1.274700337,12258.97
621,Refi,1.145504848,17720.36
621,Refi,1.486246729,16864.6
621,Refi,1.196281301,17720.36
621,Refi,1.045006959,9862.07
621,Refi,1.177850299,17720.36
621,Refi,1.29576826,27286.16
621,Refi,1.290666033,27286.16
621,Refi,1.312384615,31720.69
621,Purchase,1.409349485,12061.58
622,Refi,1.201248705,17720.36
622,Refi,1.407811255,31720.69
622,Refi,1.100142529,9862.07
622,Refi,1.294364592,27286.16
622,Refi,1.485475,16864.6
622,Refi,1.47,16864.6
622,Purchase,1.049896592,10345.1
622,Refi,1.278338922,27286.16
622,Refi,1.238691032,27286.16
622,Refi,1.021691241,9862.07
622,Refi,1.276225979,27286.16
622,Purchase,1.187904147,14357.93
622,Refi,1.310883582,31720.69
622,Refi,1.346641333,31720.69
622,Refi,1.402937587,31720.69
622,Refi,1.44056692,16864.6
622,Refi,1.045876446,9862.07
622,Purchase,1.303953575,12258.97
623,Refi,1.059948603,9862.07
623,Purchase,1.093694635,10345.1
623,Refi,1.409451501,31720.69
623,Refi,1.304665811,27286.16
623,Refi,1.398960483,31720.69
623,Refi,1.357201533,31720.69
623,Purchase,1.244780995,12258.97
623,Purchase,1.156863132,14357.93
623,Refi,0.829991545,2345.37
623,Purchase,0.821126984,4805.9
624,Purchase,1.036158917,10345.1
624,Refi,1.226674302,27286.16
624,Refi,1.406272222,31720.69
624,Refi,1.175745744,17720.36
624,Refi,0.464714715,492.45
624,Refi,1.291158685,27286.16
624,Purchase,0.915923183,3361.72
624,Purchase,1.366119167,12061.58
624,Purchase,1.185018667,14357.93
624,Purchase,1.366970044,12061.58
624,Refi,1.427619568,16864.6
624,Refi,1.385954084,31720.69
624,Refi,1.332226752,31720.69
624,Refi,1.062706077,9862.07
624,Refi,1.345120715,31720.69
625,Refi,1.167044136,17720.36
625,Purchase,0.897780707,4805.9
625,Refi,1.193458294,17720.36
625,Refi,1.231382039,27286.16
625,Purchase,1.25197549,12258.97
625,Refi,1.261779028,27286.16
625,Refi,1.049413149,9862.07
625,Refi,1.282020431,27286.16
625,Refi,0.993483158,4894.84
625,Purchase,0.880508451,4805.9
625,Purchase,1.366297143,12061.58
625,Purchase,1.144702247,14357.93
625,Refi,1.439678261,16864.6
625,Refi,1.160264471,17720.36
625,Purchase,1.129928163,14357.93
626,Refi,1.169635386,17720.36
626,Refi,1.111831953,17720.36
626,Refi,1.132445283,17720.36
626,Refi,1.350431779,31720.69
626,Refi,1.325794409,31720.69
626,Purchase,1.567729754,2196.19
626,Purchase,1.154142092,14357.93
626,Purchase,1.259792442,12258.97
626,Refi,0.985731526,4894.84
626,Refi,1.4,31720.69
626,Refi,1.503956863,16864.6
626,Refi,1.27236396,27286.16
627,Refi,1.379319171,31720.69
627,Purchase,1.236602899,12258.97
