Partner,Credit Score,Finance Type,LTV,Average Gross Revenue Binding
Credit Karma,595,Refi,1.28369484,1325.221739
NerdWallet,595,Refi,1.320199167,1221.1915
Credit Karma,595,Refi,1.021330481,1134.7
Credit Karma,596,Refi,1.214774286,1325.221739
NerdWallet,596,Refi,0.998679637,1531.025
Credit Karma,596,Refi,0.862928313,961.2766667
Credit Karma,596,Refi,1.107376299,1134.7
Credit Karma,596,Refi,1.133150142,1012.029167
Wheels,596,Purchase,0.515921654,785.2
Credit Karma,596,Refi,1.550318182,1226.83
Credit Karma,596,Refi,1.38975,1221.1915
Credit Karma,596,Refi,1.107530348,1134.7
IFS,596,Refi,1.520433333,1226.83
Credit Karma,596,Refi,0.888545854,961.2766667
IFS,596,Refi,0.891900494,961.2766667
IFS,597,Refi,1.357556291,1221.1915
IFS Marketing Organic,597,Purchase,1.047542459,1001.716
Credit Karma,597,Refi,1.152841226,1012.029167
Credit Karma,597,Refi,1.434081605,1292.335
Credit Karma,597,Refi,1.175658687,1012.029167
IFS,597,Refi,1.137629834,1012.029167
Enterprise Fleet Management,597,Purchase,1.179768511,1944.425714
Element,597,Purchase,1.305415195,2488.945
Wheels,597,Purchase,1.022975059,1001.716
Credit Karma,597,Refi,1.378205471,1221.1915
Chrysler Capital Lease,597,Purchase,1.115303413,1944.425714
Emkay,597,Purchase,0.919115651,1654.738571
AVIS,597,Purchase,1.238094326,2488.945
Element,597,Purchase,0.940015209,1654.738571
IFS,598,Purchase,1.214372608,2488.945
Enterprise Fleet Management,598,Purchase,1.167572021,1944.425714
Credit Karma,598,Refi,0.961482091,1531.025
Wheels,598,Purchase,1.025126844,1001.716
Credit Karma,598,Refi,1.125611326,1012.029167
Credit Karma,598,Refi,0.952794402,1531.025
Credit Karma,598,Refi,0.799603113,1050.055
Chrysler Capital Lease,598,Purchase,0.970511141,1654.738571
Credit Karma,599,Refi,1.339952063,1221.1915
Credit Karma,599,Refi,0.914669222,1531.025
Credit Karma,599,Refi,1.148167598,1012.029167
Credit Karma,599,Refi,1.172790744,1012.029167
Credit Karma,599,Refi,1.339666667,1221.1915
Credit Karma,599,Refi,1.223738868,1325.221739
IFS,599,Refi,1.246705018,1325.221739
Credit Karma,599,Refi,1.266518387,1325.221739
AVIS,599,Purchase,0.9282,1654.738571
Credit Karma,599,Refi,1.281987718,1325.221739
TrueCar - AVIS,599,Purchase,0.954100097,1654.738571
Credit Karma,599,Refi,1.291329483,1325.221739
Credit Karma,599,Refi,0.742556902,1050.055
AVIS,600,Purchase,1.198142268,1944.425714
Credit Karma,600,Refi,1.258907563,1325.221739
Credit Karma,600,Refi,1.427941176,1292.335
HCA - Hyundai Kia,600,Purchase,1.514453258,2134.6
Chrysler Capital Lease,600,Purchase,1.123559152,1944.425714
Chrysler Capital Lease,600,Purchase,1.509217877,1369.13
NerdWallet,600,Refi,1.184798851,1012.029167
Credit Karma,600,Refi,1.331796117,1221.1915
Credit Karma,601,Refi,1.283330556,1254.944545
Credit Karma,601,Refi,1.414803113,1402.782
Credit Karma,601,Refi,1.064403769,1100.109375
Credit Karma,601,Refi,1.042400943,1100.109375
AVIS,601,Purchase,1.099130194,2349.566
Credit Karma,601,Refi,1.373522523,1332.052353
Credit Karma,601,Refi,1.03290367,1100.109375
Element,601,Purchase,1.266271483,2030.324
AVIS,601,Purchase,1.105277796,2349.566
Credit Karma,601,Refi,0.985641169,931.798
Credit Karma,602,Refi,1.439560648,1402.782
Credit Karma,602,Refi,0.847209464,888.61
Credit Karma,602,Refi,1.25478449,1254.944545
Donlen,602,Purchase,1.152545532,1836.214286
Credit Karma,602,Refi,1.401446384,1332.052353
IFS,602,Refi,1.493744828,1402.782
Credit Karma,602,Refi,1.206642763,1449.41
